output_prefix	name	motif_id	cluster	total_tfbs	abnormal_mean_score	abnormal_bound	normal_mean_score	normal_bound	abnormal_normal_change	abnormal_normal_pvalue
Arnt_MA0004.1	Arnt	MA0004.1	C_MYC	7041	0.97311	2882	1.03041	3034	0.01667	1.12401E-22
AhrArnt_MA0006.1	Ahr::Arnt	MA0006.1	C_Ahr::Arnt	11278	0.93257	4285	0.99989	4620	-0.01285	1.05241E-22
Ddit3Cebpa_MA0019.1	Ddit3::Cebpa	MA0019.1	C_Ddit3::Cebpa	6018	0.70703	1361	0.76026	1392	-0.04223	5.08863E-51
Mecom_MA0029.1	Mecom	MA0029.1	C_Mecom	11767	0.54909	1787	0.57868	1700	-0.001	4.58988E-01
FOXF2_MA0030.1	FOXF2	MA0030.1	C_Foxj3	14235	0.62079	2843	0.65594	2839	0.00634	8.90654E-14
FOXD1_MA0031.1	FOXD1	MA0031.1	C_Foxj3	11908	0.65038	2619	0.68757	2646	0.0031	1.69040E-03
Foxq1_MA0040.1	Foxq1	MA0040.1	C_Foxq1	15171	0.57933	2597	0.6118	2567	0.00399	3.57524E-04
IRF2_MA0051.1	IRF2	MA0051.1	C_IRF2	14050	0.65262	2634	0.6868	2666	-0.01944	1.79433E-43
MAXMYC_MA0059.1	MAX::MYC	MA0059.1	C_MAX::MYC	4313	0.90036	1559	0.9548	1619	0.01584	2.53689E-17
PPARG_MA0066.1	PPARG	MA0066.1	C_PPARG	7660	0.72811	1964	0.78059	2000	-0.02545	9.36146E-40
PAX6_MA0069.1	PAX6	MA0069.1	C_PAX6	5013	0.6371	1035	0.67312	1001	-0.00744	3.46960E-07
PBX1_MA0070.1	PBX1	MA0070.1	C_PBX1	7186	0.65908	1456	0.69146	1377	0.0124	7.27127E-19
RORA_MA0071.1	RORA	MA0071.1	C_RORA	8477	0.67182	1931	0.72101	1928	-0.02487	2.85012E-39
RORA_MA0072.1	RORA	MA0072.1	C_RORA	8078	0.62729	1656	0.66888	1617	-0.02878	8.58721E-41
RREB1_MA0073.1	RREB1	MA0073.1	C_RREB1	23399	0.77719	6485	0.80361	6431	0.02481	2.72050E-65
RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	C_RXRA::VDR	5466	0.73199	1433	0.77556	1454	-0.00216	1.09883E-01
SOX9_MA0077.1	SOX9	MA0077.1	C_SOX15	7502	0.64076	1618	0.67504	1508	0.00123	1.04394E-01
SRY_MA0084.1	SRY	MA0084.1	C_SRY	15192	0.5695	2522	0.60048	2342	0.00655	1.94474E-08
TAL1TCF3_MA0091.1	TAL1::TCF3	MA0091.1	C_TAL1::TCF3	7142	0.66577	1616	0.71744	1634	-0.04321	7.29432E-62
Hand1Tcf3_MA0092.1	Hand1::Tcf3	MA0092.1	C_Hand1::Tcf3	9495	0.68633	2172	0.73529	2239	-0.01132	5.00952E-21
REL_MA0101.1	REL	MA0101.1	C_RELA	8960	0.80421	2716	0.86177	2872	-0.0059	1.92739E-06
RELA_MA0107.1	RELA	MA0107.1	C_RELA	10362	0.80146	3157	0.84644	3218	0.01437	5.46979E-27
TBP_MA0108.2	TBP	MA0108.2	C_TBP	8780	0.56191	1406	0.5949	1384	-0.00943	1.03300E-11
Spz1_MA0111.1	Spz1	MA0111.1	C_Spz1	7975	0.72326	2005	0.7794	2094	-0.0318	3.44105E-46
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	9434	0.73014	2434	0.78155	2520	-0.01757	2.50294E-33
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	7791	0.81956	2416	0.88392	2516	-0.0117	1.06168E-14
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIB	9108	0.82826	2949	0.90143	3098	-0.04157	1.06333E-62
Nobox_MA0125.1	Nobox	MA0125.1	C_GBX2	4936	0.58768	859	0.6141	843	0.00395	4.22899E-03
ZNF354C_MA0130.1	ZNF354C	MA0130.1	C_ZNF354C	15296	0.67485	3327	0.73409	3520	-0.04796	5.20684E-79
Lhx3_MA0135.1	Lhx3	MA0135.1	C_Lhx3	17015	0.4558	1776	0.47528	1606	0.00596	2.00681E-11
CTCF_MA0139.1	CTCF	MA0139.1	C_CTCF	17352	1.05134	8101	1.21938	9392	-0.11217	6.41361E-121
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	C_Pou5f1::Sox2	18799	0.5067	2521	0.53942	2334	-0.01972	1.55492E-48
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	MA0149.1	C_EWSR1-FLI1	34923	0.77902	10135	0.82928	10482	-0.00903	2.96663E-31
REST_MA0138.2	REST	MA0138.2	C_REST	12466	0.82427	3980	0.88976	4213	-0.01364	8.92343E-28
Runx1_MA0002.2	Runx1	MA0002.2	C_Bcl11B	16038	0.78122	4775	0.8059	4523	0.02931	7.60316E-57
PpargRxra_MA0065.2	Pparg::Rxra	MA0065.2	C_Pparg::Rxra	20366	0.77278	5782	0.82938	5997	-0.01742	6.61985E-47
Arid3a_MA0151.1	Arid3a	MA0151.1	C_Arid3a	20920	0.51123	2407	0.53286	2300	-0.00657	2.93217E-13
INSM1_MA0155.1	INSM1	MA0155.1	C_INSM1	15091	0.82364	4676	0.86577	4721	0.02411	6.42631E-53
RARARXRA_MA0159.1	RARA::RXRA	MA0159.1	C_RARA::RXRA	9959	0.75948	2740	0.81303	2790	-0.01971	2.51173E-34
PLAG1_MA0163.1	PLAG1	MA0163.1	C_PLAG1	16800	0.85064	5497	0.90024	5692	0.01379	1.26952E-33
Nr2e3_MA0164.1	Nr2e3	MA0164.1	C_Nr2e3	3499	0.68137	815	0.72447	832	-0.01595	4.83546E-15
ARNTHIF1A_MA0259.1	ARNT::HIF1A	MA0259.1	C_HIF1A	2279	0.90577	835	0.96798	875	0.00298	5.86636E-01
Tfcp2l1_MA0145.2	Tfcp2l1	MA0145.2	C_Tfcp2l1	11419	0.87863	4021	0.95663	4229	-0.02529	8.03075E-48
Zfx_MA0146.2	Zfx	MA0146.2	C_Zfx	23546	0.99711	10079	1.05647	10567	0.02634	1.90786E-65
DUX4_MA0468.1	DUX4	MA0468.1	C_DUX4	11701	0.85005	2675	0.90856	2568	0.01338	5.99544E-18
FOS_MA0476.1	FOS	MA0476.1	C_FOSL1	13584	0.99719	5846	1.02293	5876	0.0634	3.36153E-87
FOSL2_MA0478.1	FOSL2	MA0478.1	C_FOSL1	14860	0.97505	6115	1.00373	6203	0.05344	2.60947E-80
FOXH1_MA0479.1	FOXH1	MA0479.1	C_FOXH1	12032	0.6397	2365	0.685	2424	-0.01635	7.29627E-33
Gfi1B_MA0483.1	Gfi1B	MA0483.1	C_GFI1	15419	0.70796	3467	0.75398	3494	-0.01921	6.92077E-45
JUN_MA0488.1	JUN	MA0488.1	C_FOSL2::JUNB	9917	0.79773	2860	0.84366	2852	-0.00846	1.17102E-13
JUND_MA0492.1	JUND	MA0492.1	C_FOSL2::JUNB	8568	0.80025	2467	0.84535	2493	-0.0001	5.50938E-01
Nr1h3Rxra_MA0494.1	Nr1h3::Rxra	MA0494.1	C_Nr1h3::Rxra	10035	0.709	2469	0.76235	2525	-0.03018	2.58620E-57
MEF2C_MA0497.1	MEF2C	MA0497.1	C_MEF2A	28402	0.46112	2757	0.4805	2366	0.01354	8.03165E-42
MAFNFE2_MA0501.1	MAF::NFE2	MA0501.1	C_MAFG::NFE2L1	12660	0.82757	4095	0.87017	4175	0.00565	5.97045E-11
NR2C2_MA0504.1	NR2C2	MA0504.1	C_PPARD	16888	0.83121	5416	0.88024	5544	0.00149	2.31237E-01
Sox6_MA0515.1	Sox6	MA0515.1	C_SOX15	17946	0.64467	3773	0.67091	3513	0.01599	1.37832E-42
STAT1STAT2_MA0517.1	STAT1::STAT2	MA0517.1	C_STAT1::STAT2	32283	0.56849	5234	0.60408	5174	0.00199	1.68191E-06
Stat4_MA0518.1	Stat4	MA0518.1	C_Stat4	17675	0.66437	3944	0.70603	3883	0.00469	1.42048E-06
Stat5aStat5b_MA0519.1	Stat5a::Stat5b	MA0519.1	C_Stat5b	16916	0.66996	3804	0.70722	3776	0.00824	3.77271E-15
Stat6_MA0520.1	Stat6	MA0520.1	C_Stat6	16206	0.56548	2660	0.59631	2539	0.00848	7.60905E-23
TCF7L2_MA0523.1	TCF7L2	MA0523.1	C_Lef1	16487	0.66641	3401	0.69573	3241	0.0219	3.31056E-49
ZBTB33_MA0527.1	ZBTB33	MA0527.1	C_ZBTB33	3840	1.14824	1967	1.21028	2101	0.06348	1.65653E-63
ELK4_MA0076.2	ELK4	MA0076.2	C_ETS1	11917	1.16541	6401	1.22969	6705	0.04157	3.90591E-69
ESR2_MA0258.2	ESR2	MA0258.2	C_ESR2	10634	0.79851	3195	0.8602	3341	-0.02859	4.43761E-51
Nfe2l2_MA0150.2	Nfe2l2	MA0150.2	C_MAFG::NFE2L1	11702	0.90439	4157	0.9418	4245	-0.00151	3.21291E-02
STAT1_MA0137.3	STAT1	MA0137.3	C_Stat4	16035	0.66706	3590	0.713	3647	-0.00896	6.49989E-19
STAT3_MA0144.2	STAT3	MA0144.2	C_Stat4	18931	0.67563	4293	0.7198	4364	0.00144	4.22758E-02
GATA1TAL1_MA0140.2	GATA1::TAL1	MA0140.2	C_GATA1::TAL1	8063	0.64212	1639	0.69084	1655	-0.03201	1.06192E-49
Bach1Mafk_MA0591.1	Bach1::Mafk	MA0591.1	C_MAFK	11445	0.94713	4529	1.00353	4734	0.00188	1.69784E-02
FOXP2_MA0593.1	FOXP2	MA0593.1	C_Foxj3	24257	0.60407	4559	0.63532	4485	0.01345	7.28090E-40
SREBF1_MA0595.1	SREBF1	MA0595.1	C_SREBF1	7815	0.82233	2409	0.87499	2438	-0.01972	1.90761E-30
SREBF2_MA0596.1	SREBF2	MA0596.1	C_SREBF1	8756	0.76416	2355	0.81548	2408	-0.03569	3.56780E-55
KLF5_MA0599.1	KLF5	MA0599.1	C_PATZ1	43561	1.09834	21341	1.14841	22242	0.06312	5.53775E-112
Arid3b_MA0601.1	Arid3b	MA0601.1	C_Arid3b	16096	0.44223	1500	0.4595	1317	0.00338	3.45582E-05
Arid5a_MA0602.1	Arid5a	MA0602.1	C_Arid5a	13208	0.45133	1264	0.48323	1197	-0.01526	1.27770E-29
Arntl_MA0603.1	Arntl	MA0603.1	C_ARNT2	3520	1.0511	1599	1.1124	1661	0.02257	2.72504E-20
Atf1_MA0604.1	Atf1	MA0604.1	C_Atf1	1879	1.06587	857	1.13714	907	0.00609	2.06631E-02
Creb3l2_MA0608.1	Creb3l2	MA0608.1	C_Creb3l2	3728	1.04845	1678	1.11504	1792	0.02125	1.30417E-21
DMRT3_MA0610.1	DMRT3	MA0610.1	C_DMRTA1	5847	0.55875	955	0.59152	878	-0.00855	5.18621E-15
FOXG1_MA0613.1	FOXG1	MA0613.1	C_Foxj3	13703	0.662	3051	0.69796	3063	0.01041	4.42703E-25
Foxj2_MA0614.1	Foxj2	MA0614.1	C_Foxj3	11210	0.6863	2659	0.72281	2699	0.01385	3.97487E-27
Gmeb1_MA0615.1	Gmeb1	MA0615.1	C_Gmeb1	1036	0.93021	378	1.00242	402	-0.00309	9.70849E-01
LBX1_MA0618.1	LBX1	MA0618.1	C_EMX1	5795	0.53198	825	0.56196	793	-0.01582	5.43396E-14
LIN54_MA0619.1	LIN54	MA0619.1	C_LIN54	13537	0.51413	1762	0.54048	1640	-0.00814	3.70172E-13
mix-a_MA0621.1	mix-a	MA0621.1	C_EMX1	5819	0.48697	687	0.51207	667	-0.01188	1.63641E-11
Mlxip_MA0622.1	Mlxip	MA0622.1	C_MYC	3842	0.89992	1419	0.95174	1480	0.00916	5.18518E-05
Npas2_MA0626.1	Npas2	MA0626.1	C_MYC	3644	0.8474	1218	0.90393	1282	-0.0123	2.92606E-11
POU6F1_MA0628.1	POU6F1	MA0628.1	C_EMX1	4486	0.50292	570	0.53145	554	-0.01424	6.58016E-14
Rhox11_MA0629.1	Rhox11	MA0629.1	C_Rhox11	6704	0.62433	1287	0.67012	1340	-0.02044	2.69077E-32
SHOX_MA0630.1	SHOX	MA0630.1	C_EMX1	4928	0.5282	707	0.5572	667	-0.01343	2.40098E-20
Six3_MA0631.1	Six3	MA0631.1	C_Six3	5249	0.55882	800	0.5927	727	-0.00945	1.86253E-08
ALX3_MA0634.1	ALX3	MA0634.1	C_EMX1	6871	0.50452	874	0.5308	824	-0.01226	2.11176E-12
Ar_MA0007.3	Ar	MA0007.3	C_NR3C1	4056	0.76371	1130	0.82937	1192	-0.04011	5.62173E-46
BARHL2_MA0635.1	BARHL2	MA0635.1	C_BARHL2	4557	0.5626	722	0.59862	710	-0.01743	1.33917E-23
BHLHE41_MA0636.1	BHLHE41	MA0636.1	C_ARNT2	2420	1.13701	1208	1.20574	1264	0.02545	1.47859E-23
CREB3_MA0638.1	CREB3	MA0638.1	C_CREB3	3298	1.04764	1467	1.11758	1553	0.00905	1.07281E-09
DBP_MA0639.1	DBP	MA0639.1	C_NFIL3	3214	0.66661	713	0.70251	703	0.01565	3.12785E-12
